Checklist	title	aliases	class_uri	description	from_schema	is_a	mixin	mixins	see_also
> class	title	aliases	class_uri	description	ignore	is_a	mixin	mixins	see_also
>		"internal_separator: ""|"""						"internal_separator: ""|"""	"internal_separator: ""|"""
migs_ba	MIGS bacteria	MIGS.ba|MIGS_BA	MIXS:0010003	Minimal Information about a Genome Sequence: cultured bacteria/archaea		checklist	TRUE		
migs_eu	MIGS eukaryote	MIGS.eu|MIGS_EU	MIXS:0010002	Minimal Information about a Genome Sequence: eukaryote		checklist	TRUE		
migs_org	MIGS org	MIGS.org|MIGS_ORG	MIXS:0010006	Minimal Information about a Genome Sequence: org		checklist	TRUE		
migs_pl	MIGS plant	MIGS.pl|MIGS_PL	MIXS:0010004	Minimal Information about a Genome Sequence: plant		checklist	TRUE		
migs_vi	MIGS virus	MIGS_VI	MIXS:0010005	Minimal Information about a Genome Sequence: cultured bacteria/archaea		checklist	TRUE		
mimag	MIMAG	MIMAG	MIXS:0010011	Minimum Information About a Metagenome-Assembled Genome		checklist	TRUE		
mimarks_c	MIMARKS specimen	MIMARKS.specimen|MIMARKS_C	MIXS:0010009	Minimal Information about a Marker Specimen: specimen		checklist	TRUE		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3367316
mimarks_s	MIMARKS survey	MIMARKS.survey|MIMARKS_S	MIXS:0010008	Minimal Information about a Marker Specimen: survey		checklist	TRUE		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3367316
mims	MIMS Environmental/Metagenome	MIMS|ME	MIXS:0010007	Metagenome or Environmental		checklist	TRUE		
misag	MISAG	MISAG	MIXS:0010010	Minimum Information About a Single Amplified Genome		checklist	TRUE		
miuvig	MIUVIG	MIUVIG	MIXS:0010012	Minimum Information About an Uncultivated Virus Genome		checklist	TRUE		
checklist									
