class	MIXS ID	Structured comment name	Frequency
food-farm environment	MIXS:0000018	depth	0.9545454545454546
host-associated	MIXS:0000018	depth	0.9545454545454546
microbial mat/biofilm	MIXS:0000018	depth	0.9545454545454546
migs_ba	MIXS:0000018	depth	0.9545454545454546
migs_eu	MIXS:0000018	depth	0.9545454545454546
migs_org	MIXS:0000018	depth	0.9545454545454546
migs_pl	MIXS:0000018	depth	0.9545454545454546
migs_vi	MIXS:0000018	depth	0.9545454545454546
mimag	MIXS:0000018	depth	0.9545454545454546
mimarks_c	MIXS:0000018	depth	0.9545454545454546
mimarks_s	MIXS:0000018	depth	0.9545454545454546
mims	MIXS:0000018	depth	0.9545454545454546
misag	MIXS:0000018	depth	0.9545454545454546
miscellaneous natural or artificial environment	MIXS:0000018	depth	0.9545454545454546
miuvig	MIXS:0000018	depth	0.9545454545454546
plant-associated	MIXS:0000018	depth	0.9545454545454546
sediment	MIXS:0000018	depth	0.9545454545454546
soil	MIXS:0000018	depth	0.9545454545454546
symbiont-associated	MIXS:0000018	depth	0.9545454545454546
wastewater/sludge	MIXS:0000018	depth	0.9545454545454546
water	MIXS:0000018	depth	0.9545454545454546
agriculture	MIXS:0000018	soil_depth	0.045454545454545456
migs_ba	MIXS:0000056	assembly_qual	0.9166666666666666
migs_eu	MIXS:0000056	assembly_qual	0.9166666666666666
migs_org	MIXS:0000056	assembly_qual	0.9166666666666666
migs_pl	MIXS:0000056	assembly_qual	0.9166666666666666
migs_vi	MIXS:0000056	assembly_qual	0.9166666666666666
mimag	MIXS:0000056	assembly_qual	0.9166666666666666
mimarks_c	MIXS:0000056	assembly_qual	0.9166666666666666
mimarks_s	MIXS:0000056	assembly_qual	0.9166666666666666
mims	MIXS:0000056	assembly_qual	0.9166666666666666
misag	MIXS:0000056	assembly_qual	0.9166666666666666
miuvig	MIXS:0000056	assembly_qual	0.9166666666666666
agriculture	MIXS:0000056	assembly_software	0.08333333333333333
agriculture	MIXS:0000058	assembly_quality	0.08333333333333333
migs_ba	MIXS:0000058	assembly_software	0.9166666666666666
migs_eu	MIXS:0000058	assembly_software	0.9166666666666666
migs_org	MIXS:0000058	assembly_software	0.9166666666666666
migs_pl	MIXS:0000058	assembly_software	0.9166666666666666
migs_vi	MIXS:0000058	assembly_software	0.9166666666666666
