Checklist	title	aliases	class_uri	description	from_schema	is_a	mixin	mixins	see_also
> class	title	aliases	class_uri	description	ignore	is_a	mixin	ignore	see_also
>		"internal_separator: ""|"""							"internal_separator: ""|"""
migs_ba	MIGS bacteria	MIGS.ba|MIGS_BA|migs_ba	MIXS:0010003	Minimal Information about a Genome Sequence: cultured bacteria/archaea		Checklist	TRUE		
migs_eu	MIGS eukaryote	MIGS.eu|MIGS_EU|migs_eu	MIXS:0010002	Minimal Information about a Genome Sequence: eukaryote		Checklist	TRUE		
migs_org	MIGS org	MIGS.org|MIGS_ORG|migs_org	MIXS:0010006	Minimal Information about a Genome Sequence: org		Checklist	TRUE		
migs_pl	MIGS plant	MIGS.pl|MIGS_PL|migs_pl	MIXS:0010004	Minimal Information about a Genome Sequence: plant		Checklist	TRUE		
migs_vi	MIGS virus	MIGS.vi|MIGS_VI|migs_vi	MIXS:0010005	Minimal Information about a Genome Sequence: cultured bacteria/archaea		Checklist	TRUE		
mimag	MIMAG	MIMAG|mimag	MIXS:0010011	Minimum Information About a Metagenome-Assembled Genome		Checklist	TRUE		
mimarks_c	MIMARKS specimen	MIMARKS.specimen|MIMARKS_C|mimarks_c	MIXS:0010009	Minimal Information about a Marker Specimen: specimen		Checklist	TRUE		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3367316
mimarks_s	MIMARKS survey	MIMARKS.survey|MIMARKS_S|mimarks_s	MIXS:0010008	Minimal Information about a Marker Specimen: survey		Checklist	TRUE		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3367316
mims	MIMS Environmental/Metagenome	MIMS|ME|mims	MIXS:0010007	Metagenome or Environmental		Checklist	TRUE		
misag	MISAG	MISAG|misag	MIXS:0010010	Minimum Information About a Single Amplified Genome		Checklist	TRUE		
miuvig	MIUVIG	MIUVIG|miuvig	MIXS:0010012	Minimum Information About an Uncultivated Virus Genome		Checklist	TRUE		
Checklist									
