slot	class	examples values	structured_pattern	Expected_value	Preferred_unit	use_cases	alias	aliases	class_uri	comments	description	domain	domain_of	from_schema	in_subset	inlined	inlined_as_list	is_a	keywords	mixin	mixins	multivalued	owner	pattern	range	recommended	required	see_also	slot_uri	string_serialization	title	tree_root
>slot	class	examples	structured_pattern	annotations	annotations	annotations	alias	aliases	class_uri	comments	description	domain	domain_of	from_schema	in_subset	inlined	inlined_as_list	is_a	keywords	mixin	mixins	multivalued	owner	pattern	range	recommended	required	see_also	slot_uri	string_serialization	title	tree_root
>		"inner_key: ""value"""	"inner_key: ""syntax"""	"inner_key: ""Expected_value"""	"inner_key: ""Preferred_unit"""	"inner_key: ""use_cases"""																										
>		"internal_separator: ""|"""	"internal_separator: ""|"""					"internal_separator: ""|"""		"internal_separator: ""|"""			"internal_separator: ""|"""		"internal_separator: ""|"""				"internal_separator: ""|"""		"internal_separator: ""|"""							"internal_separator: ""|"""				
migs_ba_data											Data that comply with checklist MigsBa	MixsCompliantData		https://w3id.org/mixs		true	true					true			MigsBa				MIXS:migs_ba_data		MigsBa data	
agriculture_data											Data that comply with Extension Agriculture	MixsCompliantData		https://w3id.org/mixs		true	true					true			Agriculture				MIXS:agriculture_data		Agriculture data	
migs_ba_agriculture_data											Data that comply with MigsBa combined with Agriculture	MixsCompliantData		https://w3id.org/mixs		true	true					true			MigsBaAgriculture				MIXS:migs_ba_agriculture_data		MigsBaAgriculture data	
air_data											Data that comply with Extension Air	MixsCompliantData		https://w3id.org/mixs		true	true		air			true			Air				MIXS:air_data		Air data	
migs_ba_air_data											Data that comply with MigsBa combined with Air	MixsCompliantData		https://w3id.org/mixs		true	true					true			MigsBaAir				MIXS:migs_ba_air_data		MigsBaAir data	
built_environment_data											Data that comply with Extension BuiltEnvironment	MixsCompliantData		https://w3id.org/mixs		true	true					true			BuiltEnvironment				MIXS:built_environment_data		BuiltEnvironment data	
migs_ba_built_environment_data											Data that comply with MigsBa combined with BuiltEnvironment	MixsCompliantData		https://w3id.org/mixs		true	true					true			MigsBaBuiltEnvironment				MIXS:migs_ba_built_environment_data		MigsBaBuiltEnvironment data	
food_animal_and_animal_feed_data											Data that comply with Extension FoodAnimalAndAnimalFeed	MixsCompliantData		https://w3id.org/mixs		true	true					true			FoodAnimalAndAnimalFeed				MIXS:food_animal_and_animal_feed_data		FoodAnimalAndAnimalFeed data	
migs_ba_food_animal_and_animal_feed_data											Data that comply with MigsBa combined with FoodAnimalAndAnimalFeed	MixsCompliantData		https://w3id.org/mixs		true	true					true			MigsBaFoodAnimalAndAnimalFeed				MIXS:migs_ba_food_animal_and_animal_feed_data		MigsBaFoodAnimalAndAnimalFeed data	
food_farm_environment_data											Data that comply with Extension FoodFarmEnvironment	MixsCompliantData		https://w3id.org/mixs		true	true					true			FoodFarmEnvironment				MIXS:food_farm_environment_data		FoodFarmEnvironment data	
